year,title_cn,fund_project,fund_project_clean,topic_en,topic_ru,domain_en,domain_ru,field_en,field_ru,subfield_en,subfield_ru
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500），国家自然科学基金区域创新发展联合基金重点项目（U22A20558），国家自然科学基金项目（32171572、31770576）,国家重点研发计划,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500），国家自然科学基金区域创新发展联合基金重点项目（U22A20558），国家自然科学基金项目（32171572、31770576）, 国家自然科学基金区域创新发展联合基金重点项目,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500），国家自然科学基金区域创新发展联合基金重点项目（U22A20558），国家自然科学基金项目（32171572、31770576）, 国家自然科学基金区域创新发展联合基金重点项目,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500），国家自然科学基金区域创新发展联合基金重点项目（U22A20558），国家自然科学基金项目（32171572、31770576）, 国家自然科学基金项目,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
2023,构筑基于“三线整合”的中国滨海湿地生态安全格局,国家重点研发计划（2019YFE0121500），国家自然科学基金区域创新发展联合基金重点项目（U22A20558），国家自然科学基金项目（32171572、31770576）, 国家自然科学基金项目,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
2023,可持续发展目标视野下中国食物系统转型的战略思考,中国科学院战略性先导科技专项（A类）（XDA28130100）,中国科学院战略性先导科技专项（A类）,Sustainable Development in China,Устойчивое развитие в Китае,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,可持续发展目标视野下中国食物系统转型的战略思考,中国科学院战略性先导科技专项（A类）（XDA28130100）,中国科学院战略性先导科技专项（A类）,Earth Big Data for Sustainable Development,Большие данные о Земле для устойчивого развития,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,新形势下科技体制改革攻坚的若干思考,国家社会科学基金重大项目（20&ZD075、21ZDA016），科学技术部科技创新战略研究专项（ZLY202169）,国家社会科学基金重大项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,新形势下科技体制改革攻坚的若干思考,国家社会科学基金重大项目（20&ZD075、21ZDA016），科学技术部科技创新战略研究专项（ZLY202169）, 科学技术部科技创新战略研究专项,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,黄土高原生态保护和高质量发展现状、问题与建议,中国科学院学部咨询评议项目（2018-ZW13-A-028）,中国科学院学部咨询评议项目,Biodiversity Conservation and Ecosystem Restoration,Сохранение биоразнообразия и восстановление экосистем,Natural Sciences,Естественные науки,Biology,Биология,Ecology,Экология
2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403），中国科学院战略性先导科技专项（B类）培育项目（XDPB21），中国科学院青年创新促进会人才项目（2019324）,国家优秀青年科学基金,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403），中国科学院战略性先导科技专项（B类）培育项目（XDPB21），中国科学院青年创新促进会人才项目（2019324）,国家优秀青年科学基金,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403），中国科学院战略性先导科技专项（B类）培育项目（XDPB21），中国科学院青年创新促进会人才项目（2019324）, 中国科学院战略性先导科技专项（B类）培育项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403），中国科学院战略性先导科技专项（B类）培育项目（XDPB21），中国科学院青年创新促进会人才项目（2019324）, 中国科学院战略性先导科技专项（B类）培育项目,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403），中国科学院战略性先导科技专项（B类）培育项目（XDPB21），中国科学院青年创新促进会人才项目（2019324）, 中国科学院青年创新促进会人才项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,中国盐穴型战略石油储备库建设的问题及对策,国家优秀青年科学基金（52122403），中国科学院战略性先导科技专项（B类）培育项目（XDPB21），中国科学院青年创新促进会人才项目（2019324）, 中国科学院青年创新促进会人才项目,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,国家自然科学基金面上项目（71974184），中国科学院青年创新促进会项目（2019158），中国科学院条件保障与财务局委托项目（E2J0471601）,国家自然科学基金面上项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,国家自然科学基金面上项目（71974184），中国科学院青年创新促进会项目（2019158），中国科学院条件保障与财务局委托项目（E2J0471601）, 中国科学院青年创新促进会项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,构建科技预算绩效评价3E理论，促进科技投入效能提升,国家自然科学基金面上项目（71974184），中国科学院青年创新促进会项目（2019158），中国科学院条件保障与财务局委托项目（E2J0471601）, 中国科学院条件保障与财务局委托项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,跨国油气勘探开发在保障国家能源安全中的作用,中国石油天然气股份有限公司科学研究与技术开发项目（2021DJ3101、2021DJ3205）,中国石油天然气股份有限公司科学研究与技术开发项目,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
2023,跨国油气勘探开发在保障国家能源安全中的作用,中国石油天然气股份有限公司科学研究与技术开发项目（2021DJ3101、2021DJ3205）,中国石油天然气股份有限公司科学研究与技术开发项目,Belt and Road Initiative: S&T Cooperation,"""Пояс и путь"": научно-техническое сотрудничество",Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,International Relations,Международные отношения
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国工程院战略研究与咨询项目（2022-XY-15），中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”（RCEES-TDZ-2021-6）,中国工程院战略研究与咨询项目,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国工程院战略研究与咨询项目（2022-XY-15），中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”（RCEES-TDZ-2021-6）,中国工程院战略研究与咨询项目,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国工程院战略研究与咨询项目（2022-XY-15），中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”（RCEES-TDZ-2021-6）, 中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,生物乙醇重整制氢技术挑战与产业化发展机遇,中国工程院战略研究与咨询项目（2022-XY-15），中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”（RCEES-TDZ-2021-6）, 中国科学院生态环境研究中心“碳达峰碳中和生态环境技术专项”,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,美国新型类DARPA项目管理创新机构的若干进展及启示,国家自然科学基金委应急管理项目（L1624034），博士后特别资助基金项目（2022T150280），中国博士后科学基金（2022M711434）,国家自然科学基金委应急管理项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,美国新型类DARPA项目管理创新机构的若干进展及启示,国家自然科学基金委应急管理项目（L1624034），博士后特别资助基金项目（2022T150280），中国博士后科学基金（2022M711434）,国家自然科学基金委应急管理项目,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
2023,美国新型类DARPA项目管理创新机构的若干进展及启示,国家自然科学基金委应急管理项目（L1624034），博士后特别资助基金项目（2022T150280），中国博士后科学基金（2022M711434）, 博士后特别资助基金项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,美国新型类DARPA项目管理创新机构的若干进展及启示,国家自然科学基金委应急管理项目（L1624034），博士后特别资助基金项目（2022T150280），中国博士后科学基金（2022M711434）, 博士后特别资助基金项目,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
2023,美国新型类DARPA项目管理创新机构的若干进展及启示,国家自然科学基金委应急管理项目（L1624034），博士后特别资助基金项目（2022T150280），中国博士后科学基金（2022M711434）, 中国博士后科学基金,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,美国新型类DARPA项目管理创新机构的若干进展及启示,国家自然科学基金委应急管理项目（L1624034），博士后特别资助基金项目（2022T150280），中国博士后科学基金（2022M711434）, 中国博士后科学基金,Peer Review and Funding Allocation for Basic Research,Экспертная оценка и распределение финансирования для фундаментальных исследований,Economic & Social Sciences,Гуманитарные науки,Social Sciences,Общественные науки,Science Studies,Исследования науки
2023,页岩油开发利用及在能源中的作用,国家自然科学基金（42090022）,国家自然科学基金,Renewable Energy,Возобновляемая энергия,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,Energy,Энергетика
2023,页岩油开发利用及在能源中的作用,国家自然科学基金（42090022）,国家自然科学基金,Oil and Gas Exploration and Development,Разведка и разработка нефти и газа,Applied Sciences,Прикладные науки,Engineering,Технические науки,Mining & Metallurgy,Горное дело и металлургия
2023,高水平科技自立自强下我国集成电路人才培养“痛点”与对策,国家自然科学基金重点项目（71834006），教育部哲学社会科学研究重大课题攻关项目（20JZD022），国家自然科学基金青年科学基金项目（72104227），中央高校基本科研业务费专项资金项目（E2E42112）,国家自然科学基金重点项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,高水平科技自立自强下我国集成电路人才培养“痛点”与对策,国家自然科学基金重点项目（71834006），教育部哲学社会科学研究重大课题攻关项目（20JZD022），国家自然科学基金青年科学基金项目（72104227），中央高校基本科研业务费专项资金项目（E2E42112）, 教育部哲学社会科学研究重大课题攻关项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,高水平科技自立自强下我国集成电路人才培养“痛点”与对策,国家自然科学基金重点项目（71834006），教育部哲学社会科学研究重大课题攻关项目（20JZD022），国家自然科学基金青年科学基金项目（72104227），中央高校基本科研业务费专项资金项目（E2E42112）, 国家自然科学基金青年科学基金项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,高水平科技自立自强下我国集成电路人才培养“痛点”与对策,国家自然科学基金重点项目（71834006），教育部哲学社会科学研究重大课题攻关项目（20JZD022），国家自然科学基金青年科学基金项目（72104227），中央高校基本科研业务费专项资金项目（E2E42112）, 中央高校基本科研业务费专项资金项目,S&T Innovation and Superpower Strategy,Научно-технические инновации и стратегия сверхдержавы,Applied Sciences,Прикладные науки,Enabling & Strategic Technologies,Прикладные и стратегические технологии,"Strategic, Defence & Security Studies","Стратегия, оборона и безопасность"
2023,中国西北干旱区水资源与生态环境变化及保护建议,中国科学院重点部署项目（ZDRWZS-2019-3），国家自然科学基金（42130512）,中国科学院重点部署项目,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
2023,中国西北干旱区水资源与生态环境变化及保护建议,中国科学院重点部署项目（ZDRWZS-2019-3），国家自然科学基金（42130512）,中国科学院重点部署项目,Climate Change Impact,Влияние изменения климата,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,中国西北干旱区水资源与生态环境变化及保护建议,中国科学院重点部署项目（ZDRWZS-2019-3），国家自然科学基金（42130512）, 国家自然科学基金,Water Resources Management and Ecological Protection,Управление водными ресурсами и экологическая защита,Applied Sciences,Прикладные науки,Engineering,Технические науки,Environmental Engineering,Инженерная экология
2023,中国西北干旱区水资源与生态环境变化及保护建议,中国科学院重点部署项目（ZDRWZS-2019-3），国家自然科学基金（42130512）, 国家自然科学基金,Climate Change Impact,Влияние изменения климата,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,英国碳中和战略政策体系研究与启示,中国科学院变革性洁净能源关键技术与示范战略性先导科技专项战略研究课题（XDA21010103），中国科学院战略研究与决策支持系统建设专项课题（GHJ-ZLZX-2022-13-03），中国科学院轻型动力创新研究院创新引导基金项目（CXYJJ21-MS-01）,中国科学院变革性洁净能源关键技术与示范战略性先导科技专项战略研究课题,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,英国碳中和战略政策体系研究与启示,中国科学院变革性洁净能源关键技术与示范战略性先导科技专项战略研究课题（XDA21010103），中国科学院战略研究与决策支持系统建设专项课题（GHJ-ZLZX-2022-13-03），中国科学院轻型动力创新研究院创新引导基金项目（CXYJJ21-MS-01）, 中国科学院战略研究与决策支持系统建设专项课题,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,英国碳中和战略政策体系研究与启示,中国科学院变革性洁净能源关键技术与示范战略性先导科技专项战略研究课题（XDA21010103），中国科学院战略研究与决策支持系统建设专项课题（GHJ-ZLZX-2022-13-03），中国科学院轻型动力创新研究院创新引导基金项目（CXYJJ21-MS-01）, 中国科学院轻型动力创新研究院创新引导基金项目,Carbon Neutrality Goals,Достижение углеродной нейтральности,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）,国家自然科学基金,"Global Climate Change: Impact, Adaptation, and Mitigation Strategy","Глобальное изменение климата: воздействие, адаптация и стратегия смягчения последствий",Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）,国家自然科学基金,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 中国科学院学部咨询评议项目,"Global Climate Change: Impact, Adaptation, and Mitigation Strategy","Глобальное изменение климата: воздействие, адаптация и стратегия смягчения последствий",Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 中国科学院学部咨询评议项目,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 中国科学院学部自主部署项目,"Global Climate Change: Impact, Adaptation, and Mitigation Strategy","Глобальное изменение климата: воздействие, адаптация и стратегия смягчения последствий",Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 中国科学院学部自主部署项目,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 中国科学院国际伙伴计划国际大科学计划培育专项,"Global Climate Change: Impact, Adaptation, and Mitigation Strategy","Глобальное изменение климата: воздействие, адаптация и стратегия смягчения последствий",Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 中国科学院国际伙伴计划国际大科学计划培育专项,Deep-sea Observation and Exploration,Глубоководные наблюдения и исследования,Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Oceanography,Океанология
2023,海洋负排放——基于地球系统科学思维的海洋科技变革,国家自然科学基金（41861144018、42188102），中国科学院学部咨询评议项目（2020-ZW09-A-021），中国科学院学部自主部署项目（XK2022DXA001），中国科学院国际伙伴计划国际大科学计划培育专项（121311KYSB20190029），福建省海洋经济发展专项资金项目（FJHJF-L-2022-11），海洋负排放国际大科学计划（ONCE）, 福建省海洋经济发展专项资金项目,"Global Climate Change: Impact, Adaptation, and Mitigation Strategy","Глобальное изменение климата: воздействие, адаптация и стратегия смягчения последствий",Natural Sciences,Естественные науки,Earth & Environmental Sciences,Науки о Земле и науки об окружающей среде,Environmental Sciences,Науки об окружающей среде
